Cumulative Aldose Monomer Concentrations of the strains used in plate Xyl1 in the PhD thesis of Rühmann (\cite{Ruehmann2015b})
Plate	Position	Cumulative Aldose Monomer Concentration in mg/l
EPS 1	A10	48
EPS 1	A12	79
EPS 1	A2	13
EPS 1	A3	224
EPS 1	A4	111
EPS 1	A5	59
EPS 1	A6	45
EPS 1	A8	29
EPS 1	A9	33
EPS 1	B10	943
EPS 1	B11	394
EPS 1	B12	46
EPS 1	B2	909
EPS 1	B3	269
EPS 1	B6	155
EPS 1	B7	800
EPS 1	B8	892
EPS 1	B9	15
EPS 1	C10	47
EPS 1	C11	887
EPS 1	C12	152
EPS 1	C3	823
EPS 1	C4	345
EPS 1	C6	16
EPS 1	C9	31
EPS 1	D1	174
EPS 1	D10	32
EPS 1	D12	262
EPS 1	D4	1249
EPS 1	D6	37
EPS 1	D9	28
EPS 1	E10	579
EPS 1	E4	1193
EPS 1	F10	96
EPS 1	F11	150
EPS 1	F12	39
EPS 1	F4	68
EPS 1	F7	15
EPS 1	F8	2515
EPS 1	G10	325
EPS 1	G11	121
EPS 1	G3	64
EPS 1	G4	54
EPS 1	G6	107
EPS 1	G7	54
EPS 1	G8	62
EPS 1	H10	62
EPS 1	H2	41
EPS 1	H5	24
EPS 1	H6	74
EPS 1	H7	247
EPS 1	H8	10
EPS 1	H9	36
EPS 2	A11	336
EPS 2	A4	2054
EPS 2	A6	0
EPS 2	A8	50
EPS 2	A9	2042
EPS 2	B3	622
EPS 2	B5	216
EPS 2	B6	64
EPS 2	C1	1367
EPS 2	C12	70
EPS 2	C2	1580
EPS 2	C3	1394
EPS 2	C4	1123
EPS 2	C5	141
EPS 2	C6	75
EPS 2	C7	226
EPS 2	C9	702
EPS 2	D1	45
EPS 2	D2	89
EPS 2	D3	112
EPS 2	D4	78
EPS 2	D6	626
EPS 2	D7	897
EPS 2	E10	200
EPS 2	E11	116
EPS 2	E12	116
EPS 2	E2	189
EPS 2	E3	22
EPS 2	E4	44
EPS 2	E5	311
EPS 2	E9	15
EPS 2	F12	16
EPS 2	F2	37
EPS 2	F5	51
EPS 2	G2	95
EPS 2	G3	15
EPS 2	G4	15
EPS 2	G5	81
EPS 2	G6	86
EPS 2	H1	67
EPS 2	H2	57
EPS 2	H4	20
