Name\footnote{Genus, genus and species, or description based on likely relative.}	EPS nomenclature	Xyl nomenclature
Agrobacterium	EPS1.D3	Xyl2.A1
Agrobacterium	EPS1.F5	Xyl2.A2
Agrobacterium	EPS1.F9	Xyl2.A3
Agrobacterium	EPS1.G1	Xyl2.A4
Agrobacterium	EPS1.G5	Xyl2.A5
Agrobacterium	EPS1.G12	Xyl2.A6
Agrobacterium	EPS1.H11	Xyl2.A7
Agrobacterium	EPS1.H12	Xyl2.A8
Agrobacterium	EPS2.F1	Xyl2.A9
Agrobacterium	EPS2.H6	Xyl2.A10
Arthrobacter	EPS1.B6	Xyl1.A1
Arthrobacter	EPS1.B7	Xyl1.A2
Arthrobacter	EPS1.B8	Xyl1.A3
Arthrobacter	EPS1.B9	Xyl1.A4
Arthrobacter	EPS1.B10	Xyl1.A5
Arthrobacter	EPS1.B11	Xyl1.A6
Arthrobacter	EPS1.C3	Xyl1.A7
Arthrobacter	EPS1.C4	Xyl1.A8
Arthrobacter	EPS1.C11	Xyl1.A9
Arthrobacter	EPS1.D6	Xyl1.A10
Arthrobacter	EPS1.F4	Xyl1.A11
Arthrobacter	EPS1.F10	Xyl1.A12
Arthrobacter	EPS1.G11	Xyl1.B1
Arthrobacter	EPS1.H8	Xyl1.B2
Arthrobacter	EPS1.H10	Xyl1.B3
Arthrobacter	EPS2.F2	Xyl1.B4
Arthrobacter	EPS2.F12	Xyl1.B5
Arthrobacter	EPS2.G6	Xyl1.B6
Bacillus	EPS1.A3	Xyl1.B7
Bacillus	EPS1.A4	Xyl1.B8
Bacillus	EPS1.B2	Xyl1.B9
Bacillus	EPS1.B12	Xyl1.B10
Bacillus	EPS1.C10	Xyl1.B11
Bacillus	EPS1.D1	Xyl1.B12
Bacillus	EPS1.D4	Xyl1.C1
Bacillus	EPS2.D1	Xyl1.C2
Bacillus	EPS2.D2	Xyl1.C3
Bacillus	EPS2.D6	Xyl1.C4
Bacillus	EPS2.D7	Xyl1.C5
Bacillus	EPS2.E9	Xyl1.C6
Bacillus	EPS2.E10	Xyl1.C7
Bacillus	EPS2.E11	Xyl1.C8
Bacillus	EPS2.E12	Xyl1.C9
Bacillus	EPS2.G2	Xyl1.C10
Bacillus	EPS2.G3	Xyl1.C11
Bacillus	EPS2.G4	Xyl1.C12
Bacillus	EPS2.G5	Xyl1.D1
Bacillus	EPS2.H4	Xyl1.D2
Burkholderia	EPS2.E1	Xyl2.B11
Burkholderia	EPS2.F4	Xyl2.B12
Caulobacter	EPS2.H3	Xyl2.C1
Cellulosimicrobium	EPS2.G11	Xyl2.C2
Cellulosimicrobium	EPS2.G12	Xyl2.C3
Curtobacterium	EPS1.B1	Xyl2.C4
Curtobacterium	EPS1.B4	Xyl2.C5
Dyella	EPS1.E1	Xyl2.C6
Erwinia, related	EPS1.C8	Xyl2.C7
Herbaspirillum	EPS1.E3	Xyl2.A11
Herbaspirillum	EPS1.E5	Xyl2.A12
Herbaspirillum	EPS1.E8	Xyl2.B1
Herbaspirillum	EPS1.E9	Xyl2.B2
Herbaspirillum	EPS2.A10	Xyl2.B3
Herbaspirillum	EPS2.B1	Xyl2.B4
Herbaspirillum	EPS2.B7	Xyl2.B5
Kozakia	EPS1.C7	Xyl2.C8
Microbacterium	EPS1.F8	Xyl1.D3
Microbacterium	EPS1.F11	Xyl1.D4
Microbacterium	EPS1.F12	Xyl1.D5
Microbacterium	EPS1.G10	Xyl1.D6
