ISp.	Series	Strain	Fur	HMF	Van
A05	Fur	X1.A10	38.9421	0.0000	45.0688
B01	HMF	X1.A10	8.177	1.4065	516.1782
A09	Van	X1.A10	0.0000	-1.4914	52.3396
A02	HMF	X1.C04	4.4901	-6.4767	9.5261
C09	Van	X1.C04	0.0000	-13.5124	34.4418
B02	HMF	X1.C05	20.6053	-18.1262	13.3525
C10	Van	X1.C05	0.0000	-2.1384	38.4054
D09	Van	X1.C05	0.0000	-15.6145	35.5572
A07	Fur	X1.G05	17.8666	-6.2576	16.7666
D03	HMF	X1.G05	0.0000	7.5024	9.1261
B10	Van	X1.G05	27.9673	-2.4463	1960.5322
B07	Fur	X1.G11	41.4957	18.2835	28.2764
E03	HMF	X1.G11	0.0000	372.8809	19.3377
E10	Van	X1.G11	0.0000	-13.6706	1976.3702
F03	HMF	X2.A01	0.0000	-14.885	21.3977
B11	Van	X2.A01	30.1295	-1.4928	39.6034
E07	Fur	X2.A06	11.9253	-13.5107	25.6695
G03	HMF	X2.A06	9.3084	12.3587	22.7853
C11	Van	X2.A06	0.0000	-8.921	1048.5927
A08	Fur	X2.A09	20.3905	4.5859	27.6381
D11	Van	X2.A09	0.0000	-11.6462	1442.368
B08	Fur	X2.B07	15.8933	-12.5393	22.8073
A04	HMF	X2.B07	7.3651	10.6818	9.983
E11	Van	X2.B07	0.0000	-6.7342	3840.6096
C08	Fur	X2.B08	158.7271	9.7583	28.3026
B04	HMF	X2.B08	23.1437	10.0868	14.2941
D08	Fur	X2.C04	14.0014	-8.63	17.7663
C04	HMF	X2.C04	3.2524	-12.2767	9.2299
G11	Van	X2.C04	8.6244	-5.9679	1907.7689
E08	Fur	X2.C05	10.9599	-3.6246	25.5985
D04	HMF	X2.C05	0.0000	-5.3171	10.3122
A12	Van	X2.C05	0.0000	4.2088	2975.6543

