Sample Name	Furfural	HMF	Vanillin
H01_3Mix_100	88.601	87.1093	83.7231
H01_3Mix_100	86.6687	81.2486	83.397
H02_3Mix_050	50.1224	51.9155	51.0472
H03_3Mix_040	40.4851	38.6369	39.4861
H04_3Mix_030	24.0845	22.0698	22.4015
H05_3Mix_020	18.2976	17.3322	18.3576
H06_3Mix_010	10.7891	11.0482	9.8502
H07_3Mix_005	4.5809	4.0391	4.7557
H08_3Mix_004	4.4899	5.0062	4.116
H09_3Mix_003	3.3015	3.3616	3.5239
H10_3Mix_002	1.9336	2.6603	2.8632
H11_3Mix_000	1.0303	1.0788	n.a.
H12_SM18_P30S	n.a.	n.a.	n.a.
A01_HMF_X1.A07	0.5654	16.2102	8.1903
A02_HMF_X1.C04	4.4901	-6.4767	9.5261
A03_HMF_X1.F04	10.0895	457.6257	6.5047
A04_HMF_X2.B07	7.3651	10.6818	9.983
B01_HMF_X1.A10	8.177	1.4065	516.1782
B02_HMF_X1.C05	20.6053	-18.1262	13.3525
B03_HMF_X1.F08	12.3902	498.5299	12.3138
B04_HMF_X2.B08	23.1437	10.0868	14.2941
C01_HMF_X1.A12	n.a.	46.1832	16.4358
C02_HMF_X1.C10	n.a.	1958.1578	19.2407
C03_HMF_X1.F09	5.4137	155.8943	12.9152
C04_HMF_X2.C04	3.2524	-12.2767	9.2299
D01_HMF_X1.B07	n.a.	16.3563	12.6288
D02_HMF_X1.C12	n.a.	3.8401	16.0255
D03_HMF_X1.G05	n.a.	7.5024	9.1261
D04_HMF_X2.C05	n.a.	-5.3171	10.3122
E01_HMF_X1.B10	n.a.	8.1669	13.5933
E02_HMF_X1.D02	n.a.	23.0577	18.9891
E03_HMF_X1.G11	n.a.	372.8809	19.3377
E04_HMF_X2.C12	26.0941	-2.3895	17.1148
F01_HMF_X1.B11	n.a.	-6.6173	17.1247
F02_HMF_X1.D04	20.6469	3.7885	12.3358
F03_HMF_X2.A01	n.a.	-14.885	21.3977
F04_HMF_X2.D02	55.0436	1.5027	33.7957
G01_HMF_X1.C02	1.6613	16.78	25.9032
G02_HMF_X1.D12	33.0725	2126.8727	30.4242
G03_HMF_X2.A06	9.3084	12.3587	22.7853
G04_HMF_SM18_P30S	5.1237	2804.8755	32.053
A05_Fur_X1.A10	38.9421	n.a.	45.0688
A06_Fur_X1.F01	73.7549	-12.2035	27.2587
A07_Fur_X1.G05	17.8666	-6.2576	16.7666
A08_Fur_X2.A09	20.3905	4.5859	27.6381
B05_Fur_X1.B04	841.0768	11.8819	29.1273
B06_Fur_X1.F02	935.5903	-11.9176	29.9315
B07_Fur_X1.G11	41.4957	18.2835	28.2764
B08_Fur_X2.B07	15.8933	-12.5393	22.8073
C05_Fur_X1.B05	831.0684	-15.9823	31.0555
C06_Fur_X1.F03	901.6645	7.6206	28.7801
C07_Fur_X2.A02	28.8506	-12.1669	19.967
C08_Fur_X2.B08	158.7271	9.7583	28.3026
D05_Fur_X1.B10	9.9358	-15.8832	23.2332
D06_Fur_X1.F04	32.8621	2.558	27.7631
D07_Fur_X2.A05	25.2935	-0.1766	26.0261
D08_Fur_X2.C04	14.0014	-8.63	17.7663
E05_Fur_X1.B11	11.2237	-0.2278	23.7963
E06_Fur_X1.F08	30.1357	n.a.	30.1814
E07_Fur_X2.A06	11.9253	-13.5107	25.6695
E08_Fur_X2.C05	10.9599	-3.6246	25.5985
F05_Fur_X1.C02	11.5952	-18.8661	23.3776
F06_Fur_X1.F09	19.8651	-17.6509	25.8751
F07_Fur_X2.A07	441.9533	-18.6543	34.2181
F08_Fur_X2.C12	82.4602	17.2663	28.8255
G05_Fur_X1.D02	12.6983	n.a.	29.1563
G06_Fur_X1.F10	73.9162	n.a.	34.2682
G07_Fur_X2.A08	738.4697	-8.8342	36.8908
G08_Fur_SM18_P30S	1006.1831	-15.0396	35.4624
A09_Van_X1.A10	n.a.	-1.4914	52.3396
A10_Van_X1.F10	n.a.	-7.6508	41.3085
A11_Van_X1.H10	n.a.	9.5028	36.6111
A12_Van_X2.C05	n.a.	4.2088	2975.6543
B09_Van_X1.C01	30.4275	28.334	52.918
B10_Van_X1.G05	27.9673	-2.4463	1960.5322
B11_Van_X2.A01	30.1295	-1.4928	39.6034
B12_Van_X2.C07	n.a.	11.8571	3655.5686
C09_Van_X1.C04	n.a.	-13.5124	34.4418
C10_Van_X1.C05	n.a.	-2.1384	38.4054
C11_Van_X2.A06	n.a.	-8.921	1048.5927
C12_Van_X2.C09	n.a.	-0.9989	51.3901
D09_Van_X1.C05	n.a.	-15.6145	35.5572
D10_Van_X1.G09	n.a.	-3.5848	63.3027
D11_Van_X2.A09	n.a.	-11.6462	1442.368
D12_Van_X2.C10	n.a.	12.3606	235.1482
E09_Van_X1.C07	n.a.	4.8959	39.6286
E10_Van_X1.G11	n.a.	-13.6706	1976.3702
E11_Van_X2.B07	n.a.	-6.7342	3840.6096
E12_Van_X2.C11	n.a.	0.2715	51.0982
F09_Van_X1.E03	n.a.	19.3548	48.6427
F10_Van_X1.H03	n.a.	0.7755	35.4903
F11_Van_X2.B12	25.7273	4.6483	37.3688
F12_Van_X2.D01	127.6365	n.a.	3305.9377
G09_Van_X1.E07	19.2029	-14.7257	111.1418
G10_Van_X1.H08	37.9452	-15.8579	55.8642
G11_Van_X2.C04	8.6244	-5.9679	1907.7689
G12_Van_SM18_P30S	47.0394	-13.1312	3207.8571
H02_3Mix_050	66.6071	66.2258	69.4859
H02_3Mix_050	n.a.	n.a.	n.a.
H02_3Mix_050	n.a.	n.a.	n.a.

