Sample 	Sample Name 	Man	GlcUA	GlcN	GalUA	Rib	Rha	Gen	GalN	GlcNAc	Lac	Cel	Glc	GalNAc	Gal	Ara	Xyl	Fuc	2dGlc	2dRib	Sum
1	H01_ZS1_200	190.38	n.a.	n.a.	111.31	191.9	190.91	n.a.	191.19	164.47	n.a.	169.11	186.22	n.a.	195.24	n.a.	199.69	n.a.	201.89	199.69	
2	H01_ZS1_200	200.31	n.a.	200.89	n.a.	200.95	200.12	n.a.	200.8	199.94	n.a.	201.69	200.2	n.a.	200.61	n.a.	200.75	n.a.	201.31	202.04	
3	H02_ZS1_050	49.75	n.a.	48.58	n.a.	48.51	50.51	n.a.	48.98	49.66	n.a.	45.43	50.8	n.a.	50.02	n.a.	49	n.a.	48.27	46.73	
4	H03_ZS1_040	38.83	n.a.	37.11	n.a.	37.32	38.57	n.a.	37.56	39.7	n.a.	38.08	37.68	n.a.	36.93	n.a.	37.49	n.a.	36.25	34.96	
5	H04_ZS1_030	30.25	n.a.	28.98	n.a.	29.67	30.42	n.a.	29.59	30.72	n.a.	28.4	30.24	n.a.	30.21	n.a.	29.97	n.a.	29.1	27.98	
6	H05_ZS1_020	19.39	n.a.	21.25	n.a.	19.3	19.62	n.a.	19.27	21.23	n.a.	19.94	20.24	n.a.	19.26	n.a.	19.33	n.a.	18.98	19.29	
7	H06_ZS1_010	9.56	n.a.	10.19	n.a.	10.17	9.92	n.a.	10.43	10.32	n.a.	9.83	9.84	n.a.	9.75	n.a.	10.41	n.a.	10.23	10.2	
8	H07_ZS1_005	5.41	n.a.	6.02	n.a.	6.04	5.27	n.a.	5.51	3.84	n.a.	5.38	4.97	n.a.	5.73	n.a.	5.94	n.a.	6.17	6.75	
9	H08_ZS1_004	4.47	n.a.	5.22	n.a.	4.95	3.88	n.a.	4.38	2.94	n.a.	5.47	6.7	n.a.	4.57	n.a.	4.44	n.a.	5.37	5.97	
10	H09_ZS1_003	3.53	n.a.	3.66	n.a.	4.02	3.36	n.a.	4.43	3.03	n.a.	3.95	3.55	n.a.	4.03	n.a.	3.55	n.a.	4.6	5.53	
