ISr.	Series	Strain	Acet	Form	Laev
A05	Acet	X1.A10	0.3073	0.0000	0.0000
A01	Form	X1.C04	0.0688	0.0000	0.0000
E05	Acet	X1.C04	0.0000	0.0000	0.0000
B01	Form	X1.C05	0.1857	0.0000	0.0000
F05	Acet	X1.C05	1.8816	0.0000	0.0000
F02	Form	X1.G05	0.3129	1.8585	0.0000
F06	Acet	X1.G05	4.1498	-0.1331	0.0000
A11	Laev	X1.G05	0.4486	-0.152	4.1116
A03	Form	X1.G11	0.0000	0.0000	0.0000
G06	Acet	X1.G11	0.9689	-0.1295	0.0000
D03	Form	X2.A01	1.6168	0.0000	0.0000
G11	Laev	X2.A01	2.0348	-0.1377	2.62
F07	Acet	X2.A06	0.0000	0.0000	0.0000
B12	Laev	X2.A06	0.0000	-0.1169	1.9774
B08	Acet	X2.A09	0.0000	0.0000	0.0000
D12	Laev	X2.A09	0.0000	-0.1683	2.4075
E12	Laev	X2.B07	0.0000	0.0000	2.577
G03	Form	X2.B08	0.0724	0.0000	0.0000
E08	Acet	X2.B08	0.45	-0.0413	0.0000
F12	Laev	X2.B08	0.0000	-0.1489	2.6596
F08	Acet	X2.C04	4.2959	-0.152	0.0000
G12	Laev	X2.C04	0.4235	-0.1224	3.4447
B04	Form	X2.C05	0.321	1.6691	0.0000
G08	Acet	X2.C05	3.3859	-0.1297	0.0000

