Sample Name	Acetic acid	Formic acid	Laevulinic acid
Am.s. + Es.s. 5 g/l	4.8526	4.8752	n.a.
Lä.s. 5 g/l	n.a.	n.a.	4.9619
Am.s. + Lae.s. 5 g/l	n.a.	4.9922	4.9823
Am.s. + Lae.s. 5 g/l	n.a.	3.0135	3.0351
Am.s. + Lae.s. 5 g/l	n.a.	1.4981	1.4885
Am.s. + Lae.s. 5 g/l	n.a.	0.5034	0.5019
Am.s. + Lae.s. 5 g/l	n.a.	0.3015	0.2981
Am.s. + Lae.s. 5 g/l	n.a.	0.1473	0.1536
Am.s. + Lae.s. 5 g/l	n.a.	0.044	0.0404
Es.s. 5 g/l	4.997	n.a.	n.a.
Es.s. 5 g/l	3.0053	n.a.	n.a.
Es.s. 5 g/l	1.4998	n.a.	n.a.
Es.s. 5 g/l	0.4992	n.a.	n.a.
Es.s. 5 g/l	0.3001	n.a.	n.a.
Es.s. 5 g/l	0.1485	n.a.	n.a.
Es.s. 5 g/l	0.0501	n.a.	n.a.
A01_Am.s._X1.C04	0.0688	n.a.	n.a.
A02_Am.s._X1.F10	n.a.	n.a.	n.a.
A03_Am.s._X1.G11	n.a.	n.a.	n.a.
A04_Am.s._X2.B10	n.a.	n.a.	n.a.
B01_Am.s._X1.C05	0.1857	n.a.	n.a.
B02_Am.s._X1.F12	n.a.	n.a.	n.a.
B03_Am.s._X1.H01	n.a.	n.a.	n.a.
B04_Am.s._X2.C05	0.321	1.6691	n.a.
C01_Am.s._X1.E01	0.9867	n.a.	n.a.
C02_Am.s._X1.G01	n.a.	n.a.	n.a.
C03_Am.s._X1.H03	n.a.	n.a.	n.a.
C04_Am.s._X2.C06	n.a.	-0.0906	n.a.
D01_Am.s._X1.F02	0.5493	-0.0214	n.a.
D02_Am.s._X1.G02	n.a.	-0.1265	n.a.
D03_Am.s._X2.A01	1.6168	n.a.	n.a.
D04_Am.s._X2.C07	n.a.	-0.0839	n.a.
E01_Am.s._X1.F04	0.8573	0.1273	n.a.
E02_Am.s._X1.G03	n.a.	n.a.	n.a.
E03_Am.s._X2.A02	0.7748	-0.1126	n.a.
E04_Am.s._X2.C12	n.a.	n.a.	n.a.
F01_Am.s._X1.F05	n.a.	n.a.	n.a.
F02_Am.s._X1.G05	0.3129	1.8585	n.a.
F03_Am.s._X2.B04	n.a.	n.a.	n.a.
F04_Am.s._X2.D02	-0.0068	-0.223	n.a.
G01_Am.s._X1.F08	0.7089	0.3068	n.a.
G02_Am.s._X1.G09	n.a.	-0.0737	n.a.
G03_Am.s._X2.B08	0.0724	n.a.	n.a.
G04_Am.s._X2.D03	3.4461	-0.2853	n.a.
A05_Es.s._X1.A10	0.3073	n.a.	n.a.
A06_Es.s._X1.D12	2.4904	n.a.	n.a.
A07_Es.s._X1.H08	0.5892	n.a.	n.a.
A08_Es.s._X2.A08	1.5361	-0.173	n.a.
B05_Es.s._X1.B03	n.a.	-0.1441	n.a.
B06_Es.s._X1.E01	2.6416	n.a.	n.a.
B07_Es.s._X1.H12	-0.115	n.a.	n.a.
B08_Es.s._X2.A09	n.a.	n.a.	n.a.
C05_Es.s._X1.B08	0.4655	n.a.	n.a.
