Sample 	Sample Name 	Man	GlcUA	GlcN	GalUA	Rib	Rha	Gen	GalN	GlcNAc	Lac	Cel	Glc	GalNAc	Gal	Ara	Xyl	Fuc	2dGlc	2dRib	Sum
1	H01_ZS1_200	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	538.6741	191.19	n.a.	172.9234	n.a.	n.a.	133.036	n.a.	n.a.	n.a.	2.9409	n.a.	n.a.	
2	H01_ZS1_200	200.3085	n.a.	200.8914	n.a.	200.9482	200.1242	n.a.	200.8042	199.9411	n.a.	201.689	200.2003	n.a.	200.6094	n.a.	200.7534	n.a.	201.3113	202.0446	
3	H02_ZS1_050	49.7539	n.a.	48.5755	n.a.	48.5059	50.5109	n.a.	48.9778	49.6634	n.a.	45.4286	50.8023	n.a.	50.0249	n.a.	48.9959	n.a.	48.2728	46.726	
4	H03_ZS1_040	38.8271	n.a.	37.1092	n.a.	37.3243	38.5683	n.a.	37.5598	39.6972	n.a.	38.0818	37.6769	n.a.	36.9258	n.a.	37.4862	n.a.	36.2456	34.9587	
5	H04_ZS1_030	30.2523	n.a.	28.9834	n.a.	29.6684	30.4211	n.a.	29.5922	30.7225	n.a.	28.3999	30.2361	n.a.	30.2144	n.a.	29.9712	n.a.	29.0957	27.9765	
6	H05_ZS1_020	19.391	n.a.	21.2509	n.a.	19.3048	19.6215	n.a.	19.2677	21.229	n.a.	19.944	20.2374	n.a.	19.2563	n.a.	19.3259	n.a.	18.976	19.292	
7	H06_ZS1_010	9.5644	n.a.	10.1913	n.a.	10.1741	9.9236	n.a.	10.4285	10.3191	n.a.	9.8339	9.8435	n.a.	9.7493	n.a.	10.4055	n.a.	10.2311	10.1979	
8	H07_ZS1_005	5.4067	n.a.	6.018	n.a.	6.0432	5.2651	n.a.	5.5104	3.8404	n.a.	5.382	4.972	n.a.	5.7301	n.a.	5.9413	n.a.	6.1691	6.7466	
9	H08_ZS1_004	4.4688	n.a.	5.2168	n.a.	4.9548	3.8833	n.a.	4.3818	2.9422	n.a.	5.4693	6.6959	n.a.	4.5652	n.a.	4.4355	n.a.	5.37	5.9663	
10	H09_ZS1_003	3.5326	n.a.	3.6638	n.a.	4.0218	3.355	n.a.	4.4325	3.0254	n.a.	3.9464	3.5523	n.a.	4.0309	n.a.	3.5534	n.a.	4.5989	5.5335	
11	H10_ZS1_002	2.4948	n.a.	2.0996	n.a.	3.0547	2.3269	n.a.	3.0451	2.6198	n.a.	5.8251	2.4791	n.a.	2.8938	n.a.	3.1318	n.a.	3.7295	4.5579	
12	H11_ZS1_000	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
13	H01_ZS2_200	n.a.	200.6602	n.a.	201.1391	n.a.	n.a.	200.0349	n.a.	n.a.	200.2563	n.a.	n.a.	199.9648	n.a.	200.5747	n.a.	200.4194	n.a.	n.a.	
14	H02_ZS2_050	n.a.	47.8095	n.a.	47.4167	n.a.	n.a.	48.977	n.a.	n.a.	49.1301	n.a.	n.a.	50.4738	n.a.	48.7157	n.a.	48.8885	n.a.	n.a.	
15	H03_ZS2_040	n.a.	39.8429	n.a.	38.8764	n.a.	n.a.	39.6345	n.a.	n.a.	39.2485	n.a.	n.a.	40.0941	n.a.	38.865	n.a.	39.9813	n.a.	n.a.	
16	H04_ZS2_030	n.a.	29.527	n.a.	27.7454	n.a.	n.a.	31.8857	n.a.	n.a.	31.1791	n.a.	n.a.	29.3092	n.a.	29.5862	n.a.	29.1957	n.a.	n.a.	
17	H05_ZS2_020	n.a.	19.6419	n.a.	19.471	n.a.	n.a.	20.6222	n.a.	n.a.	19.9644	n.a.	n.a.	20.0951	n.a.	19.9615	n.a.	19.659	n.a.	n.a.	
18	H06_ZS2_010	n.a.	9.1748	n.a.	10.5132	n.a.	n.a.	9.1284	n.a.	n.a.	8.2312	n.a.	n.a.	9.9877	n.a.	9.9408	n.a.	9.5464	n.a.	n.a.	
19	H07_ZS2_005	n.a.	6.5581	n.a.	7.495	n.a.	n.a.	4.6204	n.a.	n.a.	5.0234	n.a.	n.a.	4.405	n.a.	5.7323	n.a.	5.534	n.a.	n.a.	
20	H08_ZS2_004	n.a.	4.7628	n.a.	4.8903	n.a.	n.a.	4.2222	n.a.	n.a.	4.4061	n.a.	n.a.	6.2535	n.a.	4.5559	n.a.	4.6064	n.a.	n.a.	
21	H09_ZS2_003	n.a.	3.4948	n.a.	3.4285	n.a.	n.a.	2.7457	n.a.	n.a.	3.4686	n.a.	n.a.	3.1679	n.a.	3.4351	n.a.	3.5026	n.a.	n.a.	
22	H10_ZS2_002	n.a.	2.528	n.a.	3.0244	n.a.	n.a.	2.1291	n.a.	n.a.	3.0924	n.a.	n.a.	2.5024	n.a.	2.6328	n.a.	2.6668	n.a.	n.a.	
23	BR GlcUA lactone (unfiltered)	n.a.	293.3608	n.a.	24.0816	6.3413	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	2.2796	n.a.	n.a.	n.a.	n.a.	n.a.	
24	H11_SM18_P30S_Es.s.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	187.6748	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
25	H12_SM18_P30S_Lae.s.	2.0435	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	226.5506	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
