Plate	Position (x)	Position (y)	Absorption (dimensionless) at 418 nm	Absorption (dimensionless) at 480 nm	Absorption difference	Calculated glucose in mg/l	Dilution factor	Glucose concentration in mg/l (undiluted)
IS1r2pmp	1	A	1.1170	0.1058	1.0112	36.1342200886	100	3613
IS1r2pmp	2	A	0.0901	0.0443	0.0458	0.8474044945	100	85
IS1r2pmp	3	A	0.0530	0.0423	0.0107	-0.435482428	100	0
IS1r2pmp	4	A	1.4563	0.1271	1.3291	47.7575893051	100	4776
IS1r2pmp	5	A	0.2184	0.0511	0.1673	5.2881770278	100	529
IS1r2pmp	6	A	2.2824	0.1763	2.1061	76.1575517493	100	7616
IS1r2pmp	7	A	0.0556	0.0412	0.0144	-0.3006247836	100	0
IS1r2pmp	8	A	1.3541	0.1203	1.2338	44.2725571163	100	4427
IS1r2pmp	9	A	0.1972	0.0503	0.1469	4.5427836109	100	454
IS1r2pmp	10	A	0.5162	0.0774	0.4388	15.2111815251	100	1521
IS1r2pmp	11	A	0.0583	0.0421	0.0162	-0.2359219732	100	0
IS1r2pmp	12	A	2.3604	0.1848	2.1756	78.6978948454	100	7870
IS1r2pmp	1	B	0.1424	0.0481	0.0943	2.6195972235	100	262
IS1r2pmp	2	B	0.0772	0.0439	0.0333	0.3896297206	100	39
IS1r2pmp	3	B	0.0532	0.0444	0.0088	-0.5058883924	100	0
IS1r2pmp	4	B	1.7303	0.1430	1.5873	57.1941991961	100	5719
IS1r2pmp	5	B	2.8165	0.2160	2.6004	94.2289060006	100	9423
IS1r2pmp	6	B	2.9202	0.2256	2.6946	97.6726237606	100	9767
IS1r2pmp	7	B	0.0538	0.0411	0.0127	-0.3634845494	100	0
IS1r2pmp	8	B	1.2645	0.1153	1.1491	41.1776689459	100	4118
IS1r2pmp	9	B	0.0460	0.0416	0.0044	-0.6664495579	100	0
IS1r2pmp	10	B	0.5940	0.0808	0.5132	17.9307461262	100	1793
IS1r2pmp	11	B	0.1212	0.0504	0.0708	1.7589102111	100	176
IS1r2pmp	12	B	0.0524	0.0418	0.0107	-0.4373177683	100	0
IS1r2pmp	1	C	1.7789	0.1451	1.6338	58.8951395576	100	5890
IS1r2pmp	2	C	2.4783	0.1871	2.2912	82.9234582545	100	8292
IS1r2pmp	3	C	0.0470	0.0410	0.0060	-0.608310841	100	0
IS1r2pmp	4	C	0.0519	0.0416	0.0103	-0.4513640108	100	0
IS1r2pmp	5	C	3.0141	0.2230	2.7912	101.2006426629	100	10120
IS1r2pmp	6	C	2.7281	0.2017	2.5264	91.5226946762	100	9152
IS1r2pmp	7	C	2.4752	0.1850	2.2901	82.8859565617	100	8289
IS1r2pmp	8	C	2.8143	0.2084	2.6059	94.4274855324	100	9443
IS1r2pmp	9	C	0.0528	0.0418	0.0109	-0.4275605634	100	0
IS1r2pmp	10	C	0.3947	0.0657	0.3290	11.199357994	100	1120
IS1r2pmp	11	C	0.4974	0.0730	0.4244	14.6845018184	100	1468
IS1r2pmp	12	C	0.0457	0.0411	0.0045	-0.6623839706	100	0
IS1r2pmp	1	D	1.2158	0.1149	1.1010	39.4172321532	100	3942
IS1r2pmp	2	D	1.4906	0.1279	1.3627	48.9833398533	100	4898
IS1r2pmp	3	D	0.0533	0.0419	0.0115	-0.4085775429	100	0
IS1r2pmp	4	D	0.0525	0.0432	0.0093	-0.4880430805	100	0
IS1r2pmp	5	D	0.8914	0.0936	0.7978	28.3347041063	100	2833
IS1r2pmp	6	D	0.0520	0.0442	0.0079	-0.5404304561	100	0
IS1r2pmp	7	D	2.5597	0.1931	2.3666	85.6828557388	100	8568
