Plate	Sample after	Position (x)	Position (y)	Absorption (dimensionless) at 418 nm	Absorption (dimensionless) at 480 nm	Absorption difference	Calculated glucose in mg/l	Dilution factor	Glucose concentration in mg/l (undiluted)
IS1r2pmp	Gel filtration	1	A	0.664203	0.0769547	0.5872483	19.5852066484	1	19.6
IS1r2pmp	Gel filtration	2	A	0.0847283	0.0417313	0.042997	1.544364556	1	1.5
IS1r2pmp	Gel filtration	3	A	0.0478725	0.039729	0.0081435	0.389040738	1	0.4
IS1r2pmp	Gel filtration	4	A	1.6995	0.13806	1.56144	51.87771312	1	51.9
IS1r2pmp	Gel filtration	5	A	0.172107	0.0463042	0.1258028	4.2892112144	1	4.3
IS1r2pmp	Gel filtration	6	A	1.2125	0.10832	1.10418	36.72045864	1	36.7
IS1r2pmp	Gel filtration	7	A	0.0594349	0.0398813	0.0195536	0.7672627328	1	0.8
IS1r2pmp	Gel filtration	8	A	0.482109	0.0666866	0.4154224	13.8895217152	1	13.9
IS1r2pmp	Gel filtration	9	A	0.120221	0.0435341	0.0766869	2.6611173612	1	2.7
IS1r2pmp	Gel filtration	10	A	0.927967	0.0932451	0.8347219	27.7884615412	1	27.8
IS1r2pmp	Gel filtration	11	A	0.081681	0.0422909	0.0393901	1.4248030348	1	1.4
IS1r2pmp	Gel filtration	12	A	2.46823	0.179804	2.288426	75.975845048	1	76.0
IS1r2pmp	Gel filtration	1	B	0.0819285	0.040961	0.0409675	1.47709069	1	1.5
IS1r2pmp	Gel filtration	2	B	0.0734411	0.0418194	0.0316217	1.1672961116	1	1.2
IS1r2pmp	Gel filtration	3	B	0.0532329	0.0397374	0.0134955	0.566448834	1	0.6
IS1r2pmp	Gel filtration	4	B	1.28462	0.11201	1.17261	38.98877628	1	39.0
IS1r2pmp	Gel filtration	5	B	2.65299	0.185324	2.467666	81.917292568	1	81.9
IS1r2pmp	Gel filtration	6	B	1.74391	0.139065	1.604845	53.31650206	1	53.3
IS1r2pmp	Gel filtration	7	B	0.0759211	0.0412821	0.034639	1.267313572	1	1.3
IS1r2pmp	Gel filtration	8	B	0.603651	0.0800097	0.5236413	17.4767618124	1	17.5
IS1r2pmp	Gel filtration	9	B	0.0586835	0.0391674	0.0195161	0.7660196828	1	0.8
IS1r2pmp	Gel filtration	10	B	0.394296	0.0636848	0.3306112	11.0782000576	1	11.1
IS1r2pmp	Gel filtration	11	B	0.469747	0.0679652	0.4017818	13.4373631064	1	13.4
IS1r2pmp	Gel filtration	12	B	0.081468	0.0427116	0.0387564	1.4037971472	1	1.4
IS1r2pmp	Gel filtration	1	C	0.536145	0.0686303	0.4675147	15.6162772756	1	15.6
IS1r2pmp	Gel filtration	2	C	1.64277	0.132591	1.510179	50.178513492	1	50.2
IS1r2pmp	Gel filtration	3	C	0.049998	0.0387249	0.0112731	0.4927807188	1	0.5
IS1r2pmp	Gel filtration	4	C	0.0513692	0.0398203	0.0115489	0.5019229372	1	0.5
IS1r2pmp	Gel filtration	5	C	1.20297	0.108572	1.094398	36.396204904	1	36.4
IS1r2pmp	Gel filtration	6	C	1.56689	0.127756	1.439134	47.823513832	1	47.8
IS1r2pmp	Gel filtration	7	C	1.27722	0.112082	1.165138	38.741094424	1	38.7
