Strain	Fur.	HMF	Van.	Acet.	Form.	Laev.
X1.A10	0.04	0.00	0.05	0.31	  NA	  NA
X1.C04	  NA	0.00	0.03	0.00	0.00	  NA
X1.C05	  NA	0.00	0.04	1.88	0.00	  NA
X1.G05	0.02	0.01	1.96	4.15	1.86	4.11
X1.G11	0.04	0.37	1.98	0.97	0.00	  NA
X2.A01	  NA	0.00	0.04	  NA	0.00	2.62
X2.A06	0.01	0.01	1.05	0.00	  NA	1.98
X2.A09	0.02	  NA	1.44	0.00	  NA	2.41
X2.B07	0.02	0.01	3.84	  NA	  NA	2.58
X2.B08	0.16	0.01	  NA	0.45	0.00	2.66
X2.C04	0.01	0.00	1.91	4.30	  NA	3.44
X2.C05	0.01	0.00	2.98	3.39	1.67	  NA
\hline
Lower quartile	0.01	0.00	0.05	0.08	0.00	2.49
Median	0.02	0.00	1.44	0.71	0.00	2.62
Upper quartile	0.04	0.01	1.97	3.01	0.83	3.05
