Plate	Well (y)	Well (x)	Furfural rank	HMF rank	Vanillin rank	Acetic acid rank	Formic acid rank	Laevulinic acid rank	LCH rank	Furfural value	HMF value	Vanillin value	Acetic acid value	Formic acid value	Laevulinic acid value	LCH value
Xyl1	A	1	90	70	36	79	69	36	97	0.124752	0.64855	0.004072	0.923789	0.944371	0.986727	0.576217
Xyl1	A	2	50	46	39	62	83	30	62	0.629109	0.778361	0	0.968202	0.917659	0.996461	0.838034
Xyl1	A	3	55	40	40	61	78	19	103	0.565278	0.786404	0	0.971765	0.925824	1.015136	0.4445
Xyl1	A	4	-	-	-	-	-	-	55	-	-	-	-	-	-	0.873311
Xyl1	A	5	54	39	41	56	71	24	54	0.56775	0.794483	0	0.980043	0.938114	1.011188	0.882827
Xyl1	A	6	48	42	42	59	72	14	60	0.643159	0.785021	0	0.975245	0.93619	1.028797	0.845889
Xyl1	A	7	28	37	43	60	58	22	64	0.795025	0.801813	0	0.974009	0.966363	1.014165	0.834803
Xyl1	A	8	40	45	44	58	65	21	57	0.70938	0.781513	0	0.978431	0.956213	1.01424	0.859766
Xyl1	A	9	58	64	38	53	54	20	66	0.524483	0.672469	0.001483	0.985557	0.980804	1.014375	0.826997
Xyl1	A	10	27	16	21	22	36	37	42	0.796295	1.01442	0.29501	1.100194	1.040439	0.984339	0.95248
Xyl1	A	11	53	41	45	55	50	18	77	0.58756	0.785711	0	0.982451	1.001225	1.015446	0.780773
Xyl1	A	12	18	50	46	46	74	58	30	0.853323	0.768259	0	0.999485	0.933638	0.921949	1.003949
Xyl1	B	1	98	81	47	83	126	32	58	0.087762	0.554025	0	0.897347	0.000235	0.993814	0.853518
Xyl1	B	2	56	32	48	81	84	40	87	0.562414	0.85042	0	0.905478	0.904153	0.967051	0.720258
Xyl1	B	3	99	48	49	26	38	38	76	0.08138	0.775673	0	1.075353	1.038737	0.983488	0.786721
Xyl1	B	4	94	27	50	71	70	41	93	0.095454	0.875277	0	0.948817	0.938523	0.965618	0.627905
Xyl1	B	5	97	28	51	70	81	53	91	0.093901	0.865111	0	0.951329	0.922827	0.942262	0.637736
Xyl1	B	6	103	84	52	67	73	35	90	0.043883	0.480585	0	0.959619	0.935859	0.989132	0.655579
Xyl1	B	7	13	35	53	93	44	46	48	0.972733	0.81206	0	0.846364	1.009328	0.953697	0.910559
Xyl1	B	8	32	57	54	16	89	49	32	0.745171	0.7155	0	1.207078	0.855093	0.949376	0.995349
Xyl1	B	9	49	38	55	51	59	29	86	0.637664	0.798877	0	0.989293	0.965361	1.004894	0.726069
Xyl1	B	10	5	8	56	14	45	47	71	1.273867	1.158169	0	1.234184	1.008083	0.951098	0.8119
Xyl1	B	11	11	11	57	36	93	90	59	1.007871	1.085305	0	1.040011	0.842494	0.770762	0.850705
Xyl1	B	12	93	59	58	45	37	93	47	0.099867	0.69906	0	1.009085	1.039468	0.749804	0.916101
Xyl1	C	1	111	62	11	39	125	72	9	0.015259	0.677697	0.635081	1.018375	0.001811	0.893595	1.175942
Xyl1	C	2	10	13	59	76	94	59	53	1.030169	1.055207	0	0.936505	0.839268	0.921257	0.887751
Xyl1	C	3	29	94	29	74	61	89	27	0.780328	0.415944	0.025088	0.945288	0.962654	0.777568	1.011755
Xyl1	C	4	25	31	7	1	16	43	95	0.798365	0.855253	0.659507	1.518343	1.304525	0.960295	0.612732
Xyl1	C	5	2	34	12	2	18	34	92	1.379487	0.817665	0.619259	1.447865	1.287005	0.99104	0.636693
Xyl1	C	6	36	63	60	73	88	69	17	0.725826	0.675223	0	0.94858	0.86609	0.902513	1.09399
Xyl1	C	7	52	77	16	90	97	95	69	0.60306	0.591605	0.580617	0.853365	0.823193	0.738079	0.824699
Xyl1	C	8	43	75	61	86	99	64	36	0.692241	0.60568	0	0.868685	0.819279	0.908801	0.969983
Xyl1	C	9	45	60	62	80	85	33	21	0.680902	0.698082	0	0.909651	0.890488	0.991866	1.069826
Xyl1	C	10	20	121	30	38	39	75	18	0.847173	0.042093	0.024314	1.020452	1.026929	0.868707	1.081983
Xyl1	C	11	33	69	63	49	98	48	20	0.743772	0.655536	0	0.995386	0.821404	0.950133	1.072844
Xyl1	C	12	24	65	64	28	68	26	8	0.81413	0.670042	0	1.056163	0.949794	1.00894	1.183704
Xyl1	D	1	39	72	65	40	101	25	12	0.715788	0.64416	0	1.015467	0.814258	1.010559	1.144073
Xyl1	D	2	16	18	66	94	103	77	41	0.933653	0.987884	0	0.844579	0.810876	0.852955	0.952601
Xyl1	D	3	73	115	67	82	112	92	99	0.343525	0.066471	0	0.898309	0.688707	0.759127	0.535042
Xyl1	D	4	26	47	68	34	80	61	33	0.796741	0.775892	0	1.044839	0.923533	0.914766	0.985629
Xyl1	D	5	51	96	69	96	118	99	70	0.628935	0.347696	0	0.836791	0.617571	0.714603	0.815857
Xyl1	D	6	60	111	70	47	92	57	83	0.50844	0.157892	0	0.998187	0.843242	0.933481	0.750902
Xyl1	D	7	62	108	71	110	120	117	109	0.45372	0.241921	0	0.485719	0.493773	0.508906	0.324445
Xyl1	D	8	66	103	72	42	53	17	61	0.417615	0.278853	0	1.011186	0.998307	1.019346	0.84427
Xyl1	D	9	59	101	73	30	40	9	72	0.511515	0.298282	0	1.051557	1.023752	1.071606	0.810513
Xyl1	D	10	67	106	74	41	46	13	67	0.408943	0.260107	0	1.012436	1.002505	1.037292	0.826063
