y	x	Attenuance at 600 nm
A	1	1.38052
A	2	1.3995
A	3	1.39724
A	4	0.0408449
A	5	1.39475
A	6	1.39411
A	7	1.37047
A	8	1.3818
A	9	1.36523
A	10	0.886711
A	11	1.41075
A	12	1.23675
B	1	1.24295
B	2	1.2413
B	3	1.45204
B	4	1.3523
B	5	1.36833
B	6	1.36602
B	7	0.755251
B	8	1.3266
B	9	1.38598
B	10	0.695726
B	11	0.705743
B	12	0.441307
C	1	0.572348
C	2	0.568522
C	3	1.1849
C	4	0.552489
C	5	0.544401
C	6	1.03344
C	7	0.374177
C	8	0.970067
C	9	0.888421
C	10	1.102
C	11	1.04537
C	12	1.03101
D	1	1.00515
D	2	0.508629
D	3	1.07507
D	4	1.15822
D	5	0.348534
D	6	0.941661
D	7	0.626847
D	8	1.13524
D	9	1.1535
D	10	1.16401
D	11	1.20083
D	12	0.363085
E	1	1.21688
E	2	0.872623
E	3	0.573245
E	4	0.986936
E	5	0.867524
E	6	1.03418
E	7	1.14774
E	8	1.13077
E	9	1.03718
E	10	0.639686
E	11	0.0426653
E	12	0.0385046
F	1	0.212497
F	2	0.129952
F	3	0.0956699
F	4	0.213702
F	5	0.646113
F	6	0.800249
F	7	0.0773038
F	8	0.217118
F	9	0.19183
F	10	0.193327
F	11	0.0415683
F	12	0.197608
G	1	0.19623
G	2	0.207783
G	3	0.205703
G	4	0.0456571
G	5	0.953996
G	6	0.0387733
G	7	0.182966
G	8	0.0396514
G	9	0.191702
G	10	0.0405451
G	11	0.755171
G	12	0.0410944
H	1	0.190848
H	2	0.48366
H	3	0.215483
H	4	0.981086
H	5	1.01623
H	6	0.580746
H	7	0.960878
H	8	0.570064
H	9	1.13889
H	10	1.23909
H	11	1.17053
H	12	0.882939
