y	x	Attenuance at 600 nm
A	1	1.41187
A	2	1.33009
A	3	1.33463
A	4	0.0436788
A	5	1.33834
A	6	1.34143
A	7	1.36154
A	8	1.35286
A	9	1.36035
A	10	0.842285
A	11	1.43843
A	12	1.15948
B	1	0.0428463
B	2	1.24105
B	3	1.4055
B	4	1.33958
B	5	1.33007
B	6	1.33472
B	7	0.894279
B	8	0.953232
B	9	1.35495
B	10	0.577292
B	11	0.581007
B	12	0.454865
C	1	0.0434766
C	2	0.515258
C	3	1.20742
C	4	0.481969
C	5	0.489981
C	6	0.948644
C	7	0.363904
C	8	0.918735
C	9	0.872076
C	10	1.11024
C	11	0.871329
C	12	0.932812
D	1	0.81562
D	2	0.491475
D	3	0.835303
D	4	1.03002
D	5	0.26948
D	6	0.803365
D	7	0.638067
D	8	1.12281
D	9	1.12559
D	10	1.1545
D	11	1.20587
D	12	0.208486
E	1	1.08595
E	2	0.777656
E	3	0.534274
E	4	1.15232
E	5	0.806343
E	6	0.938353
E	7	1.10352
E	8	1.03948
E	9	0.194596
E	10	0.503489
E	11	0.0418118
E	12	0.0390745
F	1	0.15579
F	2	0.196031
F	3	0.138182
F	4	0.366817
F	5	1.21446
F	6	0.53339
F	7	0.656104
F	8	0.368591
F	9	0.115331
F	10	0.759119
F	11	0.0430451
F	12	0.976263
G	1	0.92541
G	2	0.958878
G	3	0.977202
G	4	0.0455475
G	5	0.989104
G	6	0.0410438
G	7	0.798973
G	8	0.0418819
G	9	0.724905
G	10	0.0441694
G	11	0.8118
G	12	0.0421608
H	1	0.460675
H	2	0.555705
H	3	0.667819
H	4	0.963287
H	5	0.690793
H	6	0.451399
H	7	0.8938
H	8	0.557232
H	9	0.877104
H	10	1.03283
H	11	0.924082
H	12	0.652005
