y	x	Attenuance at 600 nm
A	1	0.222655
A	2	0.924461
A	3	0.830678
A	4	0.0421143
A	5	0.825992
A	6	0.934103
A	7	1.12691
A	8	1.01385
A	9	0.746466
A	10	0.653852
A	11	0.860935
A	12	1.06263
B	1	0.159315
B	2	0.787284
B	3	0.148547
B	4	0.173684
B	5	0.172777
B	6	0.102356
B	7	0.86263
B	8	0.835395
B	9	0.908676
B	10	0.717516
B	11	0.68594
B	12	0.0813805
C	1	0.0497256
C	2	0.622018
C	3	0.986024
C	4	0.310699
C	5	0.521367
C	6	0.801131
C	7	0.277198
C	8	0.782103
C	9	0.676067
C	10	0.922579
C	11	0.792231
C	12	0.804882
D	1	0.721362
D	2	0.558684
D	3	0.437197
D	4	0.89368
D	5	0.272889
D	6	0.500516
D	7	0.588992
D	8	0.49367
D	9	0.582912
D	10	0.495361
D	11	0.802598
D	12	0.386568
E	1	0.229303
E	2	0.369806
E	3	0.396028
E	4	0.657236
E	5	0.196709
E	6	0.282125
E	7	0.815648
E	8	0.762265
E	9	0.25348
E	10	0.0506953
E	11	0.0426013
E	12	0.0395105
F	1	0.0588533
F	2	0.0520853
F	3	0.0503042
F	4	0.346094
F	5	0.390518
F	6	0.0539872
F	7	0.0477371
F	8	0.316689
F	9	0.189328
F	10	0.114328
F	11	0.0425297
F	12	0.0481078
G	1	0.0475428
G	2	0.0493057
G	3	0.048122
G	4	0.0413883
G	5	0.854285
G	6	0.0415627
G	7	0.330413
G	8	0.0413834
G	9	0.0436525
G	10	0.0430305
G	11	0.593043
G	12	0.0411836
H	1	0.0401496
H	2	0.0431604
H	3	0.0473231
H	4	0.242451
H	5	0.28869
H	6	0.0680427
H	7	0.168152
H	8	0.389992
H	9	0.210068
H	10	0.175305
H	11	0.282672
H	12	0.182659
