y	x	Attenuance at 600 nm
A	1	0.981767
A	2	1.13348
A	3	1.13889
A	4	0.0412577
A	5	1.13878
A	6	1.13053
A	7	1.13578
A	8	1.1123
A	9	0.944905
A	10	0.821122
A	11	1.1368
A	12	0.960468
B	1	0.783441
B	2	1.16866
B	3	1.05916
B	4	1.25101
B	5	1.24838
B	6	0.704937
B	7	0.726646
B	8	0.803398
B	9	1.12745
B	10	0.655745
B	11	0.735035
B	12	0.31867
C	1	0.394947
C	2	0.635725
C	3	0.544695
C	4	0.329466
C	5	0.325644
C	6	0.747794
C	7	0.27233
C	8	0.689132
C	9	0.691675
C	10	0.0851341
C	11	0.702805
C	12	0.669426
D	1	0.65296
D	2	0.588313
D	3	0.117884
D	4	0.870992
D	5	0.169142
D	6	0.18383
D	7	0.333148
D	8	0.343119
D	9	0.356931
D	10	0.329877
D	11	0.719768
D	12	0.116808
E	1	0.149945
E	2	0.136664
E	3	0.40917
E	4	0.426389
E	5	0.605698
E	6	0.288232
E	7	0.761632
E	8	0.761231
E	9	0.0975155
E	10	0.170915
E	11	0.0416052
E	12	0.0395338
F	1	0.292257
F	2	0.2887
F	3	0.249748
F	4	0.341312
F	5	0.503477
F	6	0.237052
F	7	0.211616
F	8	0.324689
F	9	0.23199
F	10	0.45146
F	11	0.0416197
F	12	0.337412
G	1	0.326591
G	2	0.346598
G	3	0.340303
G	4	0.0408465
G	5	0.734259
G	6	0.0418321
G	7	0.610088
G	8	0.0414392
G	9	0.316988
G	10	0.0428151
G	11	0.674793
G	12	0.0423586
H	1	0.0399178
H	2	0.0735346
H	3	0.437024
H	4	0.124645
H	5	0.525475
H	6	0.393737
H	7	0.0995267
H	8	0.388397
H	9	0.350795
H	10	0.458392
H	11	0.426959
H	12	0.456059
