y	x	Attenuance at 600 nm
A	1	1.48272
A	2	1.45009
A	3	1.46871
A	4	0.0522561
A	5	1.44871
A	6	1.47935
A	7	1.43622
A	8	1.44181
A	9	1.41489
A	10	0.808597
A	11	1.46769
A	12	1.15493
B	1	1.3831
B	2	1.33386
B	3	1.34244
B	4	1.38646
B	5	1.36662
B	6	1.41771
B	7	0.856767
B	8	1.06308
B	9	1.41813
B	10	0.556497
B	11	0.544594
B	12	0.349396
C	1	0.518186
C	2	0.570873
C	3	0.992885
C	4	0.375447
C	5	0.396518
C	6	0.996184
C	7	0.34011
C	8	1.02391
C	9	0.97595
C	10	0.955169
C	11	1.01065
C	12	0.997686
D	1	1.01143
D	2	0.524206
D	3	0.925797
D	4	1.03008
D	5	0.314572
D	6	0.894219
D	7	0.665753
D	8	1.15501
D	9	1.18565
D	10	1.20252
D	11	1.19585
D	12	0.322442
E	1	0.885163
E	2	0.835438
E	3	0.514242
E	4	1.12106
E	5	0.813592
E	6	1.00439
E	7	1.06614
E	8	1.07222
E	9	0.987142
E	10	0.592166
E	11	0.0477215
E	12	0.0515868
F	1	0.169961
F	2	0.149076
F	3	0.158444
F	4	0.202209
F	5	0.581478
F	6	0.57271
F	7	0.502344
F	8	0.207171
F	9	0.20963
F	10	0.335415
F	11	0.0557086
F	12	0.328277
G	1	0.30509
G	2	0.323444
G	3	0.32279
G	4	0.0544932
G	5	0.768074
G	6	0.0473
G	7	0.342708
G	8	0.0470296
G	9	0.290306
G	10	0.0596336
G	11	0.634455
G	12	0.286489
H	1	0.247527
H	2	0.60249
H	3	0.382645
H	4	1.02638
H	5	0.544503
H	6	0.349048
H	7	0.977795
H	8	0.491244
H	9	1.34861
H	10	1.39432
H	11	1.33386
H	12	0.551178
