y	x	Attenuance at 600 nm
A	1	1.49374
A	2	1.44683
A	3	1.43936
A	4	0.0452056
A	5	1.42503
A	6	1.43117
A	7	1.40866
A	8	1.41407
A	9	1.38735
A	10	0.812409
A	11	1.43793
A	12	1.24008
B	1	1.38316
B	2	1.36931
B	3	1.35588
B	4	1.42575
B	5	1.43895
B	6	1.42449
B	7	0.887615
B	8	1.10877
B	9	1.40325
B	10	0.574212
B	11	0.682884
B	12	0.440417
C	1	0.565475
C	2	0.607
C	3	1.25382
C	4	0.380596
C	5	0.391407
C	6	1.08995
C	7	0.434137
C	8	1.11322
C	9	0.975301
C	10	1.08345
C	11	1.05274
C	12	0.98108
D	1	0.993179
D	2	0.597392
D	3	1.19484
D	4	1.11299
D	5	0.411225
D	6	0.946011
D	7	1.24983
D	8	1.12585
D	9	1.10167
D	10	1.15293
D	11	1.19264
D	12	0.278049
E	1	0.92481
E	2	0.807888
E	3	0.552051
E	4	1.15354
E	5	1.03408
E	6	1.18719
E	7	1.10301
E	8	1.1215
E	9	1.17465
E	10	0.683519
E	11	0.0434328
E	12	0.0408733
F	1	0.193197
F	2	0.152136
F	3	0.197176
F	4	0.268093
F	5	0.954448
F	6	0.701113
F	7	0.681555
F	8	0.321654
F	9	0.206691
F	10	0.511391
F	11	0.0435876
F	12	0.723171
G	1	0.713704
G	2	0.731256
G	3	0.748552
G	4	0.0471432
G	5	0.703688
G	6	0.0409693
G	7	0.799174
G	8	0.0421967
G	9	0.469006
G	10	0.0465144
G	11	0.694826
G	12	0.480096
H	1	0.404894
H	2	0.799919
H	3	0.54864
H	4	0.999116
H	5	1.05352
H	6	0.835483
H	7	0.931779
H	8	0.530094
H	9	1.27902
H	10	1.28398
H	11	1.2304
H	12	0.667408
