y	x	Attenuance at 600 nm
A	1	0.0
A	2	0.0
A	3	0.0
A	4	0.0
A	5	0.0
A	6	0.0
A	7	0.0
A	8	0.0
A	9	0.0
A	10	0.0
A	11	0.0
A	12	0.0
B	1	0.0
B	2	0.0
B	3	0.0
B	4	0.0
B	5	0.0
B	6	0.0
B	7	0.0
B	8	0.0
B	9	0.0
B	10	0.0
B	11	0.0
B	12	0.0
C	1	0.0
C	2	0.0
C	3	0.0
C	4	0.0
C	5	0.0
C	6	0.0
C	7	0.0
C	8	0.0
C	9	0.0
C	10	0.0
C	11	0.0
C	12	0.0
D	1	0.0
D	2	0.0
D	3	0.0
D	4	0.0
D	5	0.0
D	6	0.0
D	7	0.0
D	8	0.0
D	9	0.0
D	10	0.0
D	11	0.0
D	12	0.0
E	1	1.0
E	2	1.0
E	3	1.0
E	4	1.0
E	5	1.0
E	6	1.0
E	7	1.0
E	8	1.0
E	9	1.0
E	10	1.0
E	11	1.0
E	12	1.0
F	1	1.0
F	2	1.0
F	3	1.0
F	4	1.0
F	5	1.0
F	6	1.0
F	7	1.0
F	8	1.0
F	9	1.0
F	10	1.0
F	11	1.0
F	12	1.0
G	1	0.0
G	2	1.0
G	3	1.0
G	4	1.0
G	5	1.0
G	6	1.0
G	7	1.0
G	8	1.0
G	9	1.0
G	10	1.0
G	11	1.0
G	12	1.0
H	1	1.0
H	2	1.0
H	3	1.0
H	4	1.0
H	5	0.0
H	6	0.0
H	7	0.0
H	8	0.0
H	9	0.0
H	10	0.0
H	11	0.0
H	12	0.0
