y	x	Attenuance at 600 nm
A	1	0.079584
A	2	0.0733152
A	3	0.068699
A	4	0.0817277
A	5	0.0720415
A	6	0.0732206
A	7	0.0677942
A	8	0.0693549
A	9	0.0756719
A	10	0.300444
A	11	0.0692994
A	12	0.0678562
B	1	0.0588685
B	2	0.0586809
B	3	0.061089
B	4	0.0475591
B	5	0.0478325
B	6	0.0726651
B	7	0.0501812
B	8	0.0595422
B	9	0.069639
B	10	0.0671923
B	11	0.0508939
B	12	0.0467941
C	1	0.405023
C	2	0.0528133
C	3	0.104037
C	4	0.295838
C	5	0.288975
C	6	0.0573944
C	7	0.30035
C	8	0.0582272
C	9	0.0608699
C	10	0.0989575
C	11	0.0626148
C	12	0.0604151
D	1	0.0599345
D	2	0.0557577
D	3	0.0643724
D	4	0.0614816
D	5	0.0432637
D	6	0.0720649
D	7	0.0734611
D	8	0.054105
D	9	0.0555017
D	10	0.0560497
D	11	0.0650937
D	12	0.0489672
E	1	0.0492873
E	2	0.0698302
E	3	0.411834
E	4	0.0732088
E	5	0.0431952
E	6	0.0477555
E	7	0.864214
E	8	0.0809777
E	9	0.0620163
E	10	0.0436133
E	11	0.0802196
E	12	0.0822529
F	1	0.0681681
F	2	0.0714683
F	3	0.0661843
F	4	0.0698037
F	5	0.0578905
F	6	0.0431225
F	7	0.0474782
F	8	0.0692072
F	9	0.0742483
F	10	0.358044
F	11	0.080906
F	12	0.0593608
G	1	0.0509943
G	2	0.0567311
G	3	0.0500384
G	4	0.0765757
G	5	0.19919
G	6	0.0480054
G	7	0.516597
G	8	0.0747622
G	9	0.301696
G	10	0.0649825
G	11	0.11688
G	12	0.0769301
H	1	0.0456873
H	2	0.0464687
H	3	0.441924
H	4	0.0504143
H	5	0.0617522
H	6	0.0630939
H	7	0.0470294
H	8	0.406336
H	9	0.0466019
H	10	0.221217
H	11	0.0471864
H	12	0.0458622
