Timestamp	Inoculation Time []	pH3.PV [pH]	DO3.PV [%DO]	XCO2 3.Out [%]
2015-03-31 20:39:21	0:00:24	6.955	99.564	0.03
2015-03-31 20:39:51	0:00:54	6.955	99.564	0.03
2015-03-31 20:40:21	0:01:24	6.955	99.385	0.03
2015-03-31 20:40:51	0:01:54	6.955	98.753	0.03
2015-03-31 20:41:21	0:02:24	6.955	98.753	0.03
2015-03-31 20:41:51	0:02:54	6.955	98.753	0.03
2015-03-31 20:42:21	0:03:24	6.955	98.753	0.03
2015-03-31 20:42:51	0:03:54	6.955	98.753	0.03
2015-03-31 20:43:21	0:04:24	6.955	98.753	0.03
2015-03-31 20:43:51	0:04:54	6.955	98.753	0.03
2015-03-31 20:44:21	0:05:24	6.955	98.753	0.03
2015-03-31 20:44:51	0:05:54	6.955	98.753	0.03
2015-03-31 20:45:21	0:06:24	6.955	98.753	0.03
2015-03-31 20:45:51	0:06:54	6.955	98.967	0.03
2015-03-31 20:46:21	0:07:24	6.955	98.967	0.03
2015-03-31 20:46:51	0:07:54	6.955	98.967	0.03
2015-03-31 20:47:21	0:08:24	6.955	98.967	0.03
2015-03-31 20:47:51	0:08:54	6.955	98.967	0.03
2015-03-31 20:48:21	0:09:24	6.955	98.967	0.03
2015-03-31 20:48:51	0:09:54	6.955	98.967	0.03
2015-03-31 20:49:21	0:10:24	6.955	98.967	0.03
2015-03-31 20:49:51	0:10:54	6.955	98.967	0.03
2015-03-31 20:50:21	0:11:24	6.955	98.967	0.03
2015-03-31 20:50:51	0:11:54	6.955	98.967	0.03
2015-03-31 20:51:21	0:12:24	6.955	98.967	0.03
2015-03-31 20:51:51	0:12:54	6.955	98.967	0.03
2015-03-31 20:52:21	0:13:24	6.955	98.967	0.03
2015-03-31 20:52:51	0:13:54	6.955	98.967	0.03
2015-03-31 20:53:21	0:14:24	6.955	98.967	0.03
2015-03-31 20:53:51	0:14:54	6.955	98.967	0.03
2015-03-31 20:54:21	0:15:24	6.955	98.967	0.03
2015-03-31 20:54:51	0:15:54	6.955	98.967	0.03
2015-03-31 20:55:21	0:16:24	6.955	98.967	0.03
2015-03-31 20:55:51	0:16:54	6.955	98.967	0.03
2015-03-31 20:56:21	0:17:24	6.955	98.967	0.03
2015-03-31 20:56:51	0:17:54	6.955	98.967	0.03
2015-03-31 20:57:21	0:18:24	6.955	98.952	0.03
2015-03-31 20:57:51	0:18:54	6.955	99.866	0.03
2015-03-31 20:58:21	0:19:24	6.955	99.866	0.03
2015-03-31 20:58:51	0:19:54	6.955	99.866	0.03
2015-03-31 20:59:21	0:20:24	6.955	99.866	0.03
2015-03-31 20:59:51	0:20:54	6.955	99.866	0.03
2015-03-31 21:00:21	0:21:24	6.955	99.866	0.03
2015-03-31 21:00:51	0:21:54	6.955	99.866	0.03
2015-03-31 21:01:21	0:22:24	6.955	99.866	0.03
2015-03-31 21:01:51	0:22:54	6.955	99.866	0.03
2015-03-31 21:02:21	0:23:24	6.955	99.866	0.03
2015-03-31 21:02:51	0:23:54	6.955	100.229	0.03
2015-03-31 21:03:21	0:24:24	6.955	99.433	0.03
2015-03-31 21:03:51	0:24:54	6.955	99.433	0.03
2015-03-31 21:04:21	0:25:24	6.955	99.433	0.03
2015-03-31 21:04:51	0:25:54	6.955	99.433	0.03
