Volume in ml	Mass-average molar mass in g/mol	Weighting	Viscosity in ml/g	Sample name	Slope	Deviation (%)
6.4358	2560000.00	1.00	0.0000	PulMix3_Peak_1	-0.9677	-10.0944
6.6552	1330000.00	1.00	0.0000	PulMix2_Peak_1	-0.9241	7.3426
6.9261	805000.00	1.00	0.0000	PulMix1_Peak_1	-0.8800	1.0899
7.2558	366000.00	1.00	0.0000	PulMix3_Peak_2	-0.8410	15.8106
7.6252	210000.00	1.00	0.0000	PulMix2_Peak_2	-0.8165	-0.1187
8.0061	113000.00	1.00	0.0000	PulMix1_Peak_2	-0.8124	-8.9892
8.4558	48800.00	1.00	0.0000	PulMix3_Peak_3	-0.8351	-9.9586
8.8452	21700.00	1.00	0.0000	PulMix2_Peak_3	-0.8790	-5.9429
9.1661	10000.00	1.00	0.0000	PulMix1_Peak_3	-0.9321	4.6337
9.3558	6200.00	1.00	0.0000	PulMix3_Peak_4	-0.9706	11.4028
10.0252	1320.00	1.00	0.0000	PulMix2_Peak_4	-1.1492	3.0219
10.5261	342.00	1.00	0.0000	PulMix1_Peak_4	-1.3262	-4.2636
