y	x	Attenuance at 600 nm
A	1	0.740401
A	2	0.340974
A	3	0.458256
A	4	0.124885
A	5	0.454697
A	6	0.684325
A	7	0.476558
A	8	0.128158
A	9	1.04579
A	10	0.454639
A	11	0.150726
A	12	0.140169
B	1	1.10069
B	2	0.991977
B	3	1.00117
B	4	0.130354
B	5	0.127048
B	6	0.167754
B	7	0.675512
B	8	1.08972
B	9	0.569632
B	10	1.07729
B	11	0.140436
B	12	0.677818
C	1	1.21902
C	2	1.01656
C	3	1.20987
C	4	0.922719
C	5	0.941548
C	6	0.388944
C	7	0.441157
C	8	1.14125
C	9	0.760113
C	10	0.556809
C	11	0.642641
C	12	0.42379
D	1	0.40545
D	2	0.385476
D	3	0.349952
D	4	0.149018
D	5	0.121798
D	6	0.122195
D	7	0.127146
D	8	0.123951
D	9	0.126634
D	10	0.126622
D	11	0.129333
D	12	0.132468
E	1	0.040084
E	2	0.0393764
E	3	0.0400264
E	4	0.0396146
E	5	0.0393164
E	6	0.0397961
E	7	0.0400332
E	8	0.0396565
E	9	0.0399372
E	10	0.0397063
E	11	0.0401001
E	12	0.0400354
F	1	0.0401077
F	2	0.0396369
F	3	0.0396585
F	4	0.0393467
F	5	0.0396313
F	6	0.0396731
F	7	0.0395002
F	8	0.0396632
F	9	0.0395392
F	10	0.0396017
F	11	0.0399582
F	12	0.0399128
G	1	0.0405358
G	2	0.040366
G	3	0.0398316
G	4	0.0397431
G	5	0.0396236
G	6	0.0398307
G	7	0.0396759
G	8	0.0398415
G	9	0.0400363
G	10	0.0402886
G	11	0.0395279
G	12	0.0395678
H	1	0.0397675
H	2	0.0403996
H	3	0.0393268
H	4	0.0404791
H	5	0.0403591
H	6	0.0396863
H	7	0.0394857
H	8	0.0423455
H	9	0.0396173
H	10	0.041863
H	11	0.0399567
H	12	0.0406574
