y	x	Attenuance at 600 nm
A	1	1.41891
A	2	1.35604
A	3	1.35266
A	4	1.02442
A	5	1.3
A	6	1.32339
A	7	1.33357
A	8	1.33609
A	9	1.36294
A	10	0.794123
A	11	1.4323
A	12	1.11952
B	1	1.34709
B	2	1.29689
B	3	1.36648
B	4	1.3356
B	5	1.35171
B	6	1.37804
B	7	0.7118
B	8	1.00244
B	9	1.34272
B	10	0.64825
B	11	0.636739
B	12	0.936832
C	1	0.450991
C	2	0.570873
C	3	1.10952
C	4	0.511264
C	5	0.511611
C	6	0.891987
C	7	0.308251
C	8	0.878667
C	9	0.709178
C	10	0.973348
C	11	0.967234
C	12	0.883258
D	1	0.826874
D	2	0.594548
D	3	1.0408
D	4	1.03127
D	5	0.432658
D	6	0.980657
D	7	1.29577
D	8	1.15889
D	9	1.22241
D	10	1.2251
D	11	1.28935
D	12	0.837021
E	1	1.17681
E	2	0.73022
E	3	0.503738
E	4	1.16365
E	5	0.923698
E	6	1.06429
E	7	1.04768
E	8	1.131
E	9	1.10768
E	10	0.0417618
E	11	0.509436
E	12	0.0399919
F	1	0.269874
F	2	0.277205
F	3	0.385131
F	4	0.317939
F	5	1.43501
F	6	0.397584
F	7	0.47941
F	8	0.3697
F	9	0.289208
F	10	0.0380023
F	11	0.50409
F	12	0.708903
G	1	0.743977
G	2	0.718579
G	3	0.72543
G	4	0.516309
G	5	0.840976
G	6	0.716164
G	7	0.605127
G	8	0.554432
G	9	0.527853
G	10	0.568908
G	11	0.679872
G	12	0.558239
H	1	0.433858
H	2	0.972573
H	3	0.784685
H	4	0.940719
H	5	0.873748
H	6	0.839204
H	7	1.00275
H	8	0.467519
H	9	0.302623
H	10	0.514619
H	11	0.329483
H	12	0.455443
