Stamm	Man	Nig	GlcUA	Lam	GlcN	GalUA	Rib	Rha	Ism	Gen	Koj	GalN	GlcNAc	Mal	Lac	Cel	Sop	Glc	GalNAc	Gal	Ara	Xyl	Fuc	2-d-Glc	2-d-Rib	Summe	Summe ohne Xylose
Xyl1.A1	4.30	n	0.00	n	2.30	0.00	0.00	4.30	n	0.00	n	0.00	0.00	n	0.00	n	n	5.94	0.00	1.29	n	36.10	0.00	0.00	0.00	54.22	18.13
Xyl1.A2	6.00	n	5.24	n	2.02	0.00	0.00	17.41	n	0.00	n	0.00	0.00	n	0.00	n	n	6.74	0.00	1.89	n	18.89	0.83	0.00	0.00	59.02	40.13
Xyl1.A3	4.80	n	5.64	n	2.18	0.00	0.00	17.89	n	0.00	n	0.00	0.00	n	0.00	n	n	31.92	0.00	5.93	n	30.74	0.00	0.00	0.00	99.09	68.36
Xyl1.A4	2.00	n	0.00	n	2.42	0.00	0.00	0.00	n	0.00	n	0.00	0.00	n	0.00	n	n	6.99	0.00	3.43	n	69.41	0.21	1.32	0.00	85.78	16.37
Xyl1.A5	4.04	n	5.14	n	2.06	0.00	0.00	16.80	n	0.00	n	0.00	0.00	n	0.00	n	n	6.08	0.00	1.61	n	18.09	0.00	0.00	0.00	53.83	35.73
Xyl1.A6	3.79	n	4.96	n	2.06	0.00	0.00	14.04	n	0.00	n	0.00	0.00	n	0.00	n	n	5.54	0.00	1.38	n	25.59	0.00	0.00	0.00	57.35	31.77
Xyl1.A7	3.66	n	4.90	n	2.02	0.00	0.00	13.68	n	0.00	n	0.00	0.00	n	0.00	n	n	5.57	0.00	1.52	n	30.02	0.00	0.00	0.00	61.38	31.35
Xyl1.A8	4.04	n	4.80	n	2.08	0.00	0.00	14.00	n	0.00	n	0.00	0.00	n	0.00	n	n	5.93	0.00	1.65	n	23.24	0.00	0.00	0.00	55.75	32.50
Xyl1.A9	7.78	n	7.98	n	2.34	0.00	0.00	13.62	n	0.00	n	0.00	0.00	n	0.00	n	n	17.43	0.00	17.38	n	29.76	0.00	0.00	0.00	96.29	66.53
Xyl1.A10	3.38	n	0.00	n	2.10	0.00	0.00	0.00	n	0.00	n	0.00	0.00	n	0.00	n	n	5.09	0.00	1.38	n	53.19	0.00	0.00	0.00	65.14	11.96
