Stamm	Xyl1.C1	Xyl1.C4	Xyl1.C5	Xyl1.D3	Xyl1.D7	Xyl1.D8	Xyl1.D9	Xyl1.D10	Xyl1.D11	Xyl1.E3	Xyl1.E4	Xyl1.E9	Xyl1.H8
Fuc	1.40	0.00	0.00	0.00	5.93	7.67	7.69	6.94	0.00	0.00	0.00	40.95	0.00
Gal	117.70	3.85	2.99	76.24	89.86	18.58	18.96	17.03	8.68	112.11	8.70	111.79	129.26
Glc	16.40	57.00	51.07	268.65	169.72	121.43	129.15	106.73	96.96	0.00	128.93	121.93	1.54
GlcN	0.00	0.00	0.00	4.28	3.58	3.60	3.40	3.76	2.94	0.00	2.94	3.64	0.00
GlcUA	30.44	0.00	23.64	52.18	0.00	17.84	17.56	0.00	19.08	20.04	23.56	18.32	22.12
Man	6.09	6.78	0.00	81.56	59.25	29.52	31.41	28.57	37.53	0.00	95.65	15.03	0.00
Rha	127.22	101.85	123.98	28.78	27.57	10.95	9.46	9.22	6.37	125.09	15.29	4.39	140.84
Rib	0.00	0.00	0.00	2.53	3.06	2.32	2.15	2.20	1.95	0.00	2.07	2.35	0.00
Xyl	2.31	2.67	2.39	15.47	4.85	15.38	7.84	9.35	3.46	2.78	11.00	8.07	2.26
Summe ohne Xylose	299.25	169.48	201.68	514.22	358.98	211.90	219.78	174.44	173.50	257.23	277.14	318.39	293.77
Ara	n	n	n	n	n	n	n	n	n	n	n	n	n
Cel	n	n	n	n	n	n	n	n	n	n	n	n	n
Ism	n	n	n	n	n	j	j	?	j	n	n	j	n
Koj	n	n	n	n	n	n	n	n	n	n	n	n	n
Lam	n	n	n	n	n	n	n	n	n	n	n	n	n
Mal	n	n	n	n	n	n	n	n	n	n	n	n	n
Nig	n	n	n	n	n	?	?	n	n	n	n	n	n
Sop	n	n	n	n	n	n	n	n	n	n	n	n	n

