Strain	Xyl1.C1	Xyl1.C4	Xyl1.C5	Xyl1.D3	Xyl1.D7	Xyl1.D8	Xyl1.D9	Xyl1.D10	Xyl1.D11	Xyl1.E3	Xyl1.E4	Xyl1.E9	Xyl1.H8
Fuc	0	0	0	2	65	48	56	55	0	0	0	262	0
Gal	541	14	37	331	573	104	121	118	73	540	5	698	513
GalN	0	0	0	0	0	0	0	0	0	0	0	0	0
GalUA	0	0	0	0	0	0	0	0	0	0	0	0	0
Glc	26	198	287	1488	926	896	937	873	947	26	79	891	27
GlcN	0	0	0	15	13	12	13	13	12	0	0	12	12
GlcUA	54	38	57	117	19	18	118	11	15	77	17	85	44
Man	0	0	0	376	319	223	246	250	0	0	75	84	0
Rha	628	376	516	144	92	57	78	64	45	59	13	13	597
Rib	0	0	0	0	14	9	11	10	10	0	0	9	0
Xyl/Ara	0	0	0	42	21	0	0	0	21	0	0	0	0
Sum	1249	626	897	2515	2042	1367	1580	1394	1123	702	189	2054	1193
