Chemical (sorting)	Chemical	Grade	Manufacturer or vendor	Article number	Lot	CAS Number	Date first used	CBR ID	Comment	Needed for contents in final version?
Acetic acid	Acetic acid	\SIpct{100}, Ph. Eur., extra pure	Carl Roth GmbH + Co. KG, Karlsruhe	6755.1	291174489	64-19-7	2014-03-21			y
Acetic acid	Acetic acid	\SIpct{100}, Ph. Eur., extra pure	Carl Roth GmbH + Co. KG, Karlsruhe	6755.1	224214679	64-19-7	2014-06-20			y
Acetonitrile	Acetonitrile	≥\SIpct{99.9}, Reag. Ph. Eur.	VWR International bvba/sprl, Leuven, Belgium	83640.320	13Z3764	75-05-8	2014-07-30			y
Acetonitrile	Acetonitrile	≥\SIpct{99.9}, Reag. Ph. Eur.	VWR International bvba/sprl, Leuven, Belgium	83640.320	14Z1868	75-05-8	2014-12-10			y
Agar-agar	Agar-agar	for microbiology	Carl Roth GmbH + Co. KG, Karlsruhe	5210.2	152182069	9002-18-0	2012-07-19	CA-06.1		y
Agar-agar	Agar-agar	for microbiology	Carl Roth GmbH + Co. KG, Karlsruhe	5210.2	472190993	9002-18-0	2013-01-17			y
Agar-agar	Agar-agar	for microbiology	Carl Roth GmbH + Co. KG, Karlsruhe	5210.2	413205192	9002-18-0	2014-06-25			y
Agar-agar	Agar-agar	for microbiology	Carl Roth GmbH + Co. KG, Karlsruhe	5210.2	334215983	9002-18-0	2015-01-16			y
Agar-agar	Agar-agar	for microbiology	Carl Roth GmbH + Co. KG, Karlsruhe	5210.2	055224485	9002-18-0	2015-05-12			y
Agencourt AMPure XP	Agencourt AMPure XP	-	Beckman Coulter GmbH, Krefeld	A63881	-	-	2015-03-25		used before, but found this date only	y
Alginate	Alginate	-	Sigma-Aldrich Chemie GmbH, Steinheim	71238-1KG	0001434156	9005-38-3	2014-04-24			n
Amido Black 10 B	Amido Black 10 B	p.a.	Carl Roth GmbH + Co. KG, Karlsruhe	9590.1	291170672	1064-48-8	2013-08-09			n
Ammonia	Ammonia	\SIrange{30}{33}{\percent}, extra pure	Carl Roth GmbH + Co. KG, Karlsruhe	P093.1	173185510	1336-21-6	2014-03-21			y
Ammonia	Ammonia	\SIrange{30}{33}{\percent}, extra pure	Carl Roth GmbH + Co. KG, Karlsruhe	P093.1	101162815	1336-21-6	2014-07-30			y
Ammonia	Ammonia	\SIrange{30}{33}{\percent}, extra pure	Carl Roth GmbH + Co. KG, Karlsruhe	P093.1	264215397	1336-21-6	2014-07-30			y
Ammonia	Ammonia	\SIrange{30}{33}{\percent}, extra pure	Carl Roth GmbH + Co. KG, Karlsruhe	P093.1	394215397	1336-21-6	2015-03-19			y
Ammonium chloride	Ammonium chloride	-	Mallinckrodt Baker B. V., Deventer, Netherlands	0018	0806501011	-	2015-01-16			y
Aniline blue	Aniline blue	certified by the Biological Stain Commission, dye content: \SIpct{65}	Sigma-Aldrich Chemie GmbH, Steinheim	415049-25G	77296MJ	66687-07-8	2014-03-19			y
Antifoam B	Antifoam B	-	Avantor Performance Materials B.V., Deventer, Netherlands	B531-07	1324502862	-	2013-05-15			y
Arabinose	\textsc{l}-(−)-Arabinose	≥\SIpct{99}	EMD Biosciences, Inc., La Jolla, CA, USA	178680	D00082543	87-72-9	2014-03-06			y
Ascorbic acid	\textsc{l}-(+)-Ascorbic acid	≥\SIpct{99}, p.a.	Carl Roth GmbH + Co. KG, Karlsruhe	3525.1	489110821	50-81-7	2014-04-24			n
Azino-bis(3-ethylbenzothiazoline-6-sulphonic acid) diammonium salt	2,2$'$-Azino-bis(3-ethylbenzothiazoline-6-sulphonic acid) diammonium salt	≥\SIpct{98}	Sigma-Aldrich Chemie GmbH, Steinheim	A1888-2G	-	30931-67-0	2015-03-02		commonly abbreviated as \enquote{ABTS}	y
Boric acid	Boric acid	for electrophoresis, ≥\SIpct{99.5}	Sigma-Aldrich Chemie GmbH, Steinheim	B7901-500G	108K0170	10043-35-3	2014-03-10			y
Bovine serum albumin	Bovine serum albumin	≥\SIpct{96}	Sigma-Aldrich Chemie GmbH, Steinheim	A2153-50G	100111779V	9048-46-8	2014-04-25			y
Calcium chloride dihydrate	Calcium chloride dihydrate	≥\SIpct{99}, p.a., ACS	Carl Roth GmbH + Co. KG, Karlsruhe	5239.1	192186301	10035-04-8	2015-01-16			y
Calcium chloride dihydrate	Calcium chloride dihydrate	ACS, Reag. Ph Eur	Merck KGaA, Darmstadt	1.02382.1000	A935182 911	10035-04-8	2012-05-15	CC-2		y
Calibration buffer pH 04	Calibration buffer pH 4	\num[separate-uncertainty=true]{4.00(2)}	VWR International bvba/sprl, Leuven, Belgium	32095.297	13I230511	-	?			y
Calibration buffer pH 07	Calibration buffer pH 7	\num[separate-uncertainty=true]{7.00(2)}	VWR International bvba/sprl, Leuven, Belgium	32096.291	14D090514	-	?			y
Calibration buffer pH 10	Calibration buffer pH 10	\num[separate-uncertainty=true]{10.00(2)}	VWR International bvba/sprl, Leuven, Belgium	32040.298	?	-	?			y
Calibration standard, type 2000 AW	Calibration standard, type 2000 AW	for calibration	ZMK-Analytik-GmbH, Bitterfeld-Wolfen	2000 AW	205	-	2012-06-20		Calibration symbol: 04-0514 DKD-K-06901 12-04	n
Carrageenan	κ-Carrageenan	acc. to FAO/WHO, EEC, FCC, highly pure	Carl Roth GmbH + Co. KG, Karlsruhe	3059.1	372151924	11114-20-8	2014-04-24			n
Casein peptone	Casein peptone	pancreatic digest, for microbiology	Carl Roth GmbH + Co. KG, Karlsruhe	8952.4	501175574	91079-40-2	2012-05-15	CT-15		y
Casein peptone	Casein peptone	pancreatic digest, for microbiology	Carl Roth GmbH + Co. KG, Karlsruhe	8952.4	382191682	91079-40-2	2013-01-17			y
Casein peptone	Casein peptone	pancreatic digest, for microbiology	Carl Roth GmbH + Co. KG, Karlsruhe	8952.4	263201131	91079-40-2	2014-03-05			y
Casein peptone	Casein peptone	pancreatic digest, for microbiology	Carl Roth GmbH + Co. KG, Karlsruhe	8952.4	463205143	91079-40-2	2014-06-25		opened 2014-05-26, MS	y
Casein peptone	Casein peptone	pancreatic digest, for microbiology	Carl Roth GmbH + Co. KG, Karlsruhe	8952.5	404220310	91079-40-2	2015-02-11			y
Cetyltrimethylammonium bromide	Cetyltrimethylammonium bromide	≥\SIpct{97.0}	Merck Schuchardt OHG, Hohenbrunn	814119.0500	S5518619 027	57-09-0	2014-04-09			n
Chloroform/Isoamyl alcohol (24:1)	Chloroform/Isoamyl alcohol (24:1)	for extraction of nucleic acids	Carl Roth GmbH + Co. KG, Karlsruhe	X984.2	321171869	-	2012-08-23		commonly abbreviated as \enquote{C/I mix}	y
Citric acid	Citric acid	≥\SIpct{99.5}, p.a., ACS	Carl Roth GmbH + Co. KG, Karlsruhe	X863.2	391177040	77-92-9	2013-06-26			y
Cobalt chloride hexahydrate	Cobalt chloride hexahydrate	\SIpct{98}	Alfa Aesar GmbH + Co. KG, Karlsruhe	A16346	10145260	7791-13-1	2014-03-10			y
Copper sulphate pentahydrate	Copper sulphate pentahydrate	≥\SIpct{99.0}	Sigma-Aldrich Chemie GmbH, Steinheim	61245	1326491 11107098	7758-99-8	2014-03-10			y
Dextran (broad/branched)	Dextran (broad/branched)	-	PSS Polymer Standards Service GmbH, Mainz	-	dxtb70-2	-	2013-09-11			n
Dimethylsulphoxide	Dimethylsulphoxide	≥\SIpct{99.8}, p.a.	Carl Roth GmbH + Co. KG, Karlsruhe	4720.1	090154392	67-68-5	2014-04-09		commonly abbreviated as \enquote{DMSO}	y
Dimethylsulphoxide	Dimethylsulphoxide	≥\SIpct{99.8}, p.a.	Carl Roth GmbH + Co. KG, Karlsruhe	4720.1	272185972	67-68-5	2014-04-10		commonly abbreviated as \enquote{DMSO}	y
Dimethylsulphoxide	Dimethylsulphoxide	≥\SIpct{99.5}	Dr. Klaus Schopp Forschung + Technik, Karlsruhe	-	K01705014	67-68-	2013-11-27		commonly abbreviated as \enquote{DMSO}	y
dNTP mix	dNTP mix	\SImM{10}	Rapidozym Gesellschaft für Laborhandel und DNA Diagnostika mbH, Berlin	GEN-011-M10	-	-	2013-12-06			y
