Type	Name	Manufacturer or vendor	Article number	Lot	Comment	Needed for contents in final version?
96 well plates	\SIml{2.0}; V bottom, sterile	Greiner Bio-One GmbH, Frickenhausen	736-0134	?	Duplikat von GBO mit Nr. 780271 (736-0134 ist Artikelnummer von VWR)	n
96 well plates	96-well PCR plate, non-skirted, elevated wells, colorless, PP, DNase-free, RNase-free, DNA-free	BRAND GmbH + Co. KG, Wertheim	781350	?	PCR-Platte für PMP	y
96 well plates	F bottom; \SI{340}{\micro\litre}	Greiner Bio-One GmbH, Frickenhausen	655161	?		y
96 well plates	F96 Non-treated Black	Thermo Fisher Scientific Inc., Waltham, MA, USA	237108	?	schwarz, für Fluoreszenz	n
96 well plates	V bottom; \SI{1.1}{\milli\litre}	Harvard Apparatus, Holliston, MA, USA	745565	?	Auffangplatte	y
96 well plates	V bottom; \SI{2}{\milli\litre}	Greiner Bio-One GmbH, Frickenhausen	780271	?		y
Cellophane membrane	Model 583 Gel Dryer	Bio-Rad Laboratories GmbH, Munich	165-0963	?		y
Cross-flow filtration membrane	Hydrosart; pore size: \SI{0.45}{\micro\metre}	Sartorius Stedim Biotech GmbH, Göttingen	3051860601W--SG	20618123		y
Cross-flow filtration membrane	Hydrosart; pore size: \SI{10}{\kilo\dalton}	Sartorius Stedim Biotech GmbH, Göttingen	3051443901E--SW	20484123		y
Cross-flow filtration membrane	Hydrosart; pore size: \SI{10}{\kilo\dalton}	Sartorius Stedim Biotech GmbH, Göttingen	3051443901E--SW	30709123		y
Cross-flow filtration membrane	Hydrosart; pore size: \SI{10}{\kilo\dalton}	Sartorius Stedim Biotech GmbH, Göttingen	3051443901E--SW	20727123		y
Cross-flow filtration membrane	Hydrosart; pore size: \SI{10}{\kilo\dalton}	Sartorius Stedim Biotech GmbH, Göttingen	3051443901E--SW	10602123		y
Cross-flow filtration membrane	Hydrosart; pore size: \SI{100}{\kilo\dalton}	Sartorius Stedim Biotech GmbH, Göttingen	3051446801E--SG	20340123		y
Cryo vials	CryoPure; \SIml{1.8}; polypropylene	Sarstedt AG \& Co. KG, Nümbrecht	72.379	?		y
Cuvettes	PMMA, semi-micro	Carl Roth GmbH + Co. KG, Karlsruhe	P951	?		y
Cuvettes	PMMA, semi-micro, path length \SI{10}{\milli\metre}	VWR International bvba/sprl, Leuven, Belgium	634-0678	?	Duplikat von Carl Roth Nr. P951 (Hersteller vermutlich ebenfalls BRAND)	n
Cuvettes	PS, semi-micro, path length \SI{10}{\milli\metre}	BRAND GmbH + Co. KG, Wertheim	759015	?		y
Cuvettes	PS, semi-micro, path length \SI{10}{\milli\metre}	VWR International bvba/sprl, Leuven, Belgium	634-0676	?	Duplikat von BRAND Nr. 759015	n
Filter membrane	Cellulose nitrate (CN); pore size: \SI{0.45}{\micro\metre}; sterile	Sartorius Stedim Biotech GmbH, Göttingen	11407--50----ACN	0909 11407 0900963	CN; diameter: \SI{50}{\milli\metre}	y
Filter membrane	Regenerated cellulose (RC); pore size: \SI{0.2}{\micro\metre}; non-sterile	Sartorius Stedim Biotech GmbH, Göttingen	18407--47------N	0813 18407 1302213	RC; diameter: \SI{47}{\milli\metre}	y
