Type	Model	Manufacturer or vendor	Serial Number	Comments	Needed for contents in final version?
Analytical balance	PA214C	Ohaus Corp., Pine Brook, NJ, USA	8730154280	Referred to as \enquote{Waage 1} in SK lab books	y
Autoclave	Varioklav 135 S	HP Medizintechnik GmbH, Oberschleißheim	14031914	2013/new one	y
Autoclave	Varioklav 135 S	Thermo Electron LED GmbH, Langenselbold	40965937	2008/old one	y
Balance	TB-215 D	Denver Instrument, Bohemia, NY, USA	?	Referred to as \enquote{Waage 4} in SK lab books	y
Balance	440-47N	KERN \& SOHN GmbH, Balingen	WC0034252	Referred to as \enquote{Waage 5} in SK lab books	y
Balance	TE1502 S	Sartorius AG, Göttingen	23907102	Referred to as \enquote{Waage 3} in SK lab books	y
Balance	TE6101	Sartorius AG, Göttingen	23808005	Referred to as \enquote{Waage 2} in SK lab books	y
Balance	AW 320	Shimadzu, Kyoto, Japan	D439300150	Referred to as \enquote{Giftwaage} in SK lab books	y
Capillary electrophoresis system	2100 Bioanalyzer	Agilent Technologies, Waldbronn	?	S/N n. e.	y
Carbon dioxide sensor	BCP-CO2	BlueSens gas sensor GmbH, Herten	-		y
Cell density meter	Ultrospec 10	GE Healthcare Europe GmbH, Freiburg	101478		y
Centrifuge	ROTANTA 460 R	Andreas Hettich GmbH \& Co. KG, Tuttlingen	?	S/N n. e.	y
Centrifuge	Heraeus Fresco 21	Thermo Fisher Scientific Inc., Waltham, MA, USA	40937265	Rotor: 75003424; 1.C01.2	y
Centrifuge	Heraeus Fresco 21	Thermo Fisher Scientific Inc., Waltham, MA, USA	40937259	Rotor: 75003424; 1.B07	y
Centrifuge	Heraeus Pico 17	Thermo Fisher Scientific Inc., Waltham, MA, USA	41254013	1.B08	y
Centrifuge	Sorvall RC 6+	Thermo Fisher Scientific Inc., Waltham, MA, USA	A2443	1.C01.1	y
Climate cabinet	KBF 240	BINDER GmbH, Tuttlingen	09-05438		y
Conductivity meter	Lab 970	SI Analytics GmbH, Mainz	13101513		y
Conductivity probe	LF413T-ID	SI Analytics GmbH, Mainz	?	S/N nicht vorhanden?	y
Deep freezer (\SI{-20}{\celsius})	GNP 3056 Premium	Liebherr Hausgeräte, Ochsenhausen	?	S/N n. e.	y
Deep freezer (\SI{-80}{\celsius})	6380	GFL Gesellschaft für Labortechnik mbH, Burgwedel	169828		y
